activates,activate
activated,activate
inhibits,inhibit
inhibited,inhibit
induces,induce
induced,induce
upregulates,induce
upregulate,induce
upregulated,induce
downregulates,repress
downregulate,repress
downregulated,repress
binds,bind
forms,form
generate,form
generates,form
generating,form
generated,form
making,form
make,form
made,form
express,transcription
expressed,transcription
expression,transcription
transcribe,transcription
transcribes,transcription
transcribed,transcription
translates,translation
translate,translation
translated,translation
